seller,product_name,price_int,price_dec
,Women's 2210 Cotu Fashion Sneaker,21,93
,Women's Romy Sneaker,34,53
,Women's Joanie Lace Up Sandals,66,28
,"Women’s Air Max Thea Low-Top Sneakers, Black",44,99
,Women's Air Max Thea Running Shoes,104,99
,"Women’s Air Max Thea Low-Top Sneakers, Grey (Gunsmoke/Particle Rose-Black 029), 5.5 UK 39 EU",104,50
,Womens Air Max Thea Running Shoe Cool Grey/Pure Platinum/Pink Pow 6,49,99
,Air Max Thea Women's Running Shoes 599409-104 (11),109,95
,Kids Old Skool Skate Shoe,25,95
,Women's 09v1 Training Shoe,46,58
TOMS,Women's Core Canvas Classics,38,38
,Gel-Quantum 180 2 MX Women's Running,89,95
,Women's Ez Flex 3.0-Be You Sneaker,26,00
,"Women's Basket Heart Scallop Sneaker,",75,00
Sugar & Spice,"Fashion Canvas Sneakers, Girls Boys Youth Toddlers Kids, Lace up",7,97
Vionic,Womens Syra,59,50
,Women's KIX Canvas Sneakers with Decorative Zippers,24,00
,Fantiny Women’s Classics Canvas Shoes Memory Foam Insole Flats Loafers Slip on Casual Shoes,13,99
,Women's Microburst Topnotch Sneaker,34,27
,Women's Gel-Solution Speed 3 Tennis Shoe,52,99
,"Women's Double Decker Perf Suede Sneaker,",49,94
,Women's Stretch Plus Lace-Up Sneaker,13,62
,Women's Men's Furoshiki Phulkari Sneaker,39,99
,Women's Triple Kick Canvas Fashion Sneaker,49,95
,"Women's NMD_r2 Pk W Sneaker,",71,81
JARLIF,Women's Platform Wedges Tennis Walking Sneakers Comfortable Lightweight High Heel Fitness Shoes,31,99
,Serrano Fashion Sneaker,49,94
,Women's Sienna Leather MJ,62,99
,Be-Light Florescent Womens Mary Jane Sneakers,27,99
FRACORA,Womens Canvas Sneakers Low Cut Lace Ups Casual Walking Shoes,19,99
,"Women's 501v1 Sneaker,",40,40
DW,Women's Tall Canvas Lace up Knee High Sneakers,12,99
,Salsette 1 Jazz Sneaker,29,99
,Men's Chuck Taylor All Star Leather Low Top Sneaker,36,99
,"Gazelle Sneakers -,",26,09
,Women's Fuse Athletic Shoe,26,45
,Women's Full Circle,33,99
,Kelson Lace-Up Sneakers,79,98
,Kelson Outline Womens Sneaker Size US 8.5 Khaki / Chalk,34,99
,Womens Kelson Low Top Lace up Fashion Sneakers,39,99
,Women's Kelson Signature Sneaker,39,99
,Kelson Outline Womens Sneaker Size US 8 Khaki / Chalk,109,99
,Classic Sneaker,26,56
,Unisex Chuck Taylor All Star Ox Sneaker,39,50
,Unisex Sk8-Hi Slim Women's Skate Shoe,23,00
,Sport Women's Empire Sharp Thinking Fashion Sneaker,22,49
,Women Fashion Jogger Sneaker (Lace-Up/Slip-On),29,55
,Sport Women's Synergy 2.0 Simply Chic Fashion Sneaker,25,75
,Women's Cali Ll Canvas Sneaker,39,95
,Women's Campus W Sneaker,32,31
,Women's Jack Purcell Cp Canvas Low Top,19,59
,BB3458 Energy Boost Women's Running Shoes,64,97
,Lauren Ralph Lauren Women's Janis Fashion Sneaker,30,62
,Women's Free RN CMTR 2017 Running Shoe,56,97
,Women's Cf Advantage Cl Sneaker,37,94
,Women's Vikky Platform Leather Sneaker,64,96
,BOBS Women's Bobs Clique Sneaker,32,33
,Unisex Chuck Taylor All Star Syde Street Mid Sneaker,27,32
,"Women's NMD_r1,",66,79
,Originals Men's NMD_xr1 Pk Sneaker,107,68
,Women's 2790 COT14COLORSFOXINGW Sneaker,75,99
S-3,Women's Low Top Classic Canvas Fashion Sneaker,10,99
MIA Amore,"MIA Women's Zoe Fashion Sneaker,",10,00
,Propet Women's Mary Jane,31,97
,Sport Women's Microburst Beauty Blossoms Sneaker,25,56
,Pro Women's Capri Pants,26,14
,Women's Cf Advantage W Sneaker,44,85
,Women's Suede Platform Trace Sneakers,33,00
Nailyhome,Womens Sneakers Wedges High Top Side Zipper Slip on Platform Sneakers,19,98
,"Women's Warren Slip On Sneakers, Grey, 7.5 M US",225,00
,CR7 Strike Soccer Ball,27,50
