product_name,price_int,price_dec,seller
"Men's 3"" Heel Pimp Shoe. Mens.",33,44,
Women's Trend Setter Slip-On Loafer,17,99,
Women's Leona Slip-on Loafer,32,84,
"Women's Caddell Denali Slip-On Loafer,",19,21,
Women's Classic Genuine Leather Penny Loafers Driving Moccasins Casual Slip On Boat Shoes Fashion Comfort Flats,36,99,ARTISURE
Women's Grasp Chime Loafer,50,40,
Women's Donna Crochet Loafer Flat,49,95,
"Leather Slipper, Women's Oxford Slipper Vintage Slip-Ons Colorful Flower Backless Loafer Shoes",66,98,gracosy
Loafers Women Comfort Casual Slip on Low Heel Cowhide Leather Flat Shoes,49,99,ONEENO
Women's Farrow Wedge Pump,18,00,
Women's Go Walk Lite-15412 Loafer Flat,16,99,
Tulip Perf Slip-On,73,90,
Women's Leather Loafers Casual Flats Driving Moccasins Indoor Shoes Slip-On Slippers,7,99,Temofon
Women's Bear's Hug Travel Canvas Slip-on Shoe Grayish-Green,59,99,UIN
Women's Sierra Slip-On,39,99,
Women's Loraine Loafer,49,99,
"Women's Cameo Loafer Flat,",26,36,
Women's Comfortable Bow Point Toe Flat Pumps Slip On Shoes,18,99,Meeshine
Women's Brisk Blaine Slip-on,89,95,Vionic
Women's Go Walk Lite-15385 Loafer,25,55,
Women's Floral Comfort Walking Flat Loafer,15,99,VenusCelia
Womens Barrado,40,99,
Women Leather Loafers Casual Moccasin Driving Indoor Flat Slip-on Shoes,9,99,Adibosy
Women's Livie Slip-on Loafer,90,49,
Women's Leisa Carly Clog,55,25,
Women's Sacha Moto Shootie Western Boot,116,71,
Women's Casual Slip-On Flats Moccasins Driving Leather Loafer Shoes,9,99,STAINLIZARD
Women's Renova PROfessional Slip-On Clog,92,95,Timberland PRO
Propet Women's Washable Walker Sneaker,13,98,
Women's Keesha Cora Penny Loafer,31,24,
"Women's Keesha Cora I Penny Loafer,",31,74,
Propet Women's Travelwalker II Shoe,12,46,
"Women's Avalon Loafer,",59,95,TOMS
