product_name,price_int,price_dec,seller,a-size-small href 2
Women's Moro Partridge Kpr Oxford,44,99,Klogs Footwear,https://www.amazon.com/gp/offer-listing/B01MYGPCZM/ref=sr_1_317_olp?s=apparel&ie=UTF8&qid=1536137839&sr=1-317&nodeID=679415011&psd=1&condition=new
Women's Moro Castle Fg Oxford,52,87,Klogs Footwear,
Women's Moro Frost Grey Oxford,109,95,Klogs Footwear,
Women's Moro Castle Fg Oxford,49,99,Klogs Footwear,
Women's Moro Partridge Kpr Oxford,52,87,Klogs Footwear,
Women's Moro Frost Grey Oxford,53,67,Klogs Footwear,
Women's Moro Black Troy 8 M US,53,67,Klogs Footwear,
Women's Dolly Tuxedo Oxford,120,00,,
Women's 3.Zerogrand Oxford Sneaker,225,00,,
Women's Aston-Mk Oxford,15,13,,
Women's Taro Oxford,106,83,Kelsi Dagger Brooklyn,
Women's Avery Lace-Up Oxford,29,99,Brash,
Women's Cecilia Oxford,41,00,,
Women's Willis Sneaker,28,15,SoftWalk,
Women Summer Breathable PU&Lace Upper Oxfords Shoes Elegant Block Heel Brogue Dress Shoes,26,90,Jamron,
"Women's Aquet Perforated Tie Oxford,",68,31,,
Women's East Village Oxford,34,35,,
Women's Ilena Loafer,22,03,NATURAL SOUL,
Women's Jagger Grand Weave Oxford,83,07,,
Women's Original Grand WTIP Oxford,99,99,,
Women's Original Grand Wingtip Oxford,99,99,,
"Women's IRIS Sneaker,",26,99,,
Women's Brogue Pointed Toe Wingtips Work&Wedding Dress Leather Oxfords Shoes,39,99,rismart,
Women's Autumn Casual Leather Running Sports Shoes Solid Lace up Flat Fashion Sneaker,19,99,Temofon,
Women's Tali Grand Lace Wedge 40 Pump,71,96,,
Women's Tali Grand Lace Wedge 40,90,56,,
Women's Jasmin Platform Oxford,80,00,Jane and the Shoe,
Women's Leather Perforated Lace-up Oxfords Shoes for Women Wingtip Multicolor Brougue Shoes,89,99,MIKCON,
Leta,99,85,,
Womens PU Leather Oxfords Brogue Wingtip Lace up Dress Shoes Chunky High Heels Pumps Oxfords,29,99,Odema,
Women's Women's Cora2 Fashion Sneaker,17,69,,
Women's Semester Oxford,57,31,School Issue,
Women's Grand Crosscourt Knit Ii,42,99,,
Women's Dacia Sneaker,24,99,,
Spring Summer Fashion Vintage Brogue Women's Low Heel Sweet Bowknot Oxfords Shoes Candy Color,16,69,leanna,
Women’s Desi Leather Oxford,149,00,,
Women's Wins782fly Oxford,81,25,,
Women's Oxford Shoes Classic Fashion Chunky Heel Bootie Mid-Heel Lace up Ankle Boots Mary Jane Pumps by,20,79,ShoBeautiful,
Women's Alis 28335 Oxford Flat,59,48,Tamaris,
Women's Pandora Oxford,50,00,,
