product_name,price_int,price_dec,seller
Women's Aria Mary Jane Flat,30,62,
Women's Fulton Moccasin,84,99,MICHAEL Michael Kors
Women's Cobb Hill Janet Wedge Pump,44,99,
Women's Oalise Ballet Flat,52,73,
Women's Chrissy Driving Moc,29,99,dexflex Comfort
Women's Dea Slingback Pump,28,34,
Women's Regina Ballet Flat,59,95,
Women's Meree Madrine Mary Jane Flat,33,70,
Women's Audrey Mary Jane Flat,47,99,
Women's Memories Ballet Flat,12,99,
Women's Shoe Ballet Basic Light Comfort Low Heel Flat,24,99,Ollio
Women's Dari Flat,14,96,
Women's Lisanne Ballet Flat,57,99,
Nova Utopia Women's Mary Jane Style Ballet Flats,9,99,Nova Footwear
Womens Classic Pointy Toe Ballet Flats Slip On Suede Flat Shoes,14,99,Meeshine
Women's Shoe Ballet Faux Suede Flat,24,99,Ollio
Womens Kaleesi,34,99,
Women's Starship Nubuck D'Orsay Flat,39,00,
BOBS from Women's Plush Lite Custom Built Flat,24,99,
Fashion Lace up Ankle Straps Pointed Toe Ballet Flat Shoes with Comfortable Padded Insole,16,99,Mila Lady
"Women's Dee Ballet Flat,",14,75,
Peony Womens Ballet Flats Elastic Ankle Strap Shoes Slip On Loafers,11,99,
"Women's Bikers-Provocative Laced Upper Detail, a Relaxed Fit Mary Jane Flat",33,80,
Proven Pain Relief Orthopedic Diabetic Chelsea Womens Slip On Shoes,129,95,Orthofeet
Women's Emma-Ch,33,57,Cobb Hill
Women's Bikers-Step-up Mary Jane Slip-On Flat No Memory Foam,35,53,
"Propet TravelFit Flex Ballet Flat,",20,62,
Women's Faux Suede Comfort Slip-on Penny Loafer Flat Shoes,23,99,Greatonu
Women's Edition Ballet Flat,32,69,
Women's Knotted Pattern Round Toe Ballet Flats,13,88,Charles Albert
Women's Paloma,77,29,
"Women's Chaste Ballet Flat,",25,16,
Women's Bird Nest Layered Lines Jelly Ballet Flats,9,99,Sketo
Women's Sillian Holly Flat,16,99,
Women's Shoe Ballet Basic Pointed Toe Comfort Enamel Flat,24,99,Ollio
Womens Taylor Ballet Flat,25,32,Oka-B
Women's Speakup Ballet Flat,32,93,
Women's Blakely Flat,34,99,
Women's Pippa 07 Flat,80,50,Josef Seibel
"Malorie Womens Comfortable Memory Foam Ballet Flat Shoe,Work Comfort Dress Flats Low Wedge Pump for Women",19,99,
Women's Gilly Flat,42,29,
Women's Audriana Ballet Flat,39,99,
Women's Inde Lave Mj Mary Jane Flat,44,03,
Women's Superballerina Ballet Flat,44,00,
Women's Franny Flat,87,99,
Women's Catwalk Ballet Flat,33,78,
"BOBS Women's Luxe Chunky Rhinestone Slip on W Memory Foam Ballet Flat,",55,00,
Women's Tahoe Encore Walking Shoe,29,98,
Footwear Women's Ta Dah Mary Jane,124,95,
Women’s Audrey Leather Ballet Flat,38,00,Eureka USA
Women's Ultragirl Sweet XIII Flats,44,99,
BOBS Women's Bobs Plush-Wag Town Flat,24,94,
EASY21 Women's Casual Flats Ballet Ankle Strap Fashion Shoes,9,99,Blue Berry
Women's 3-Layer Fringe Boot,63,48,
Women's I-Loyal Flat,19,98,
