seller,product_name,price_int,price_dec
,Women's Go Walk Joy-15611 Sneaker,25,37
Theatricals,"Neoprene Insert Adult Tap Shoes,T9100",25,93
,Women's Z1 Classic Athletic Sandal,57,99
,"Women's Adizero Ubersonic 3 w Tennis Shoe,",69,96
,Women Women's Fatbaby Collection Western Cowboy Boot,67,44
,Dance Womens Eclipse Canvas Contemporary Ballet Shoe,17,50
,Performance Women's Go Walk 2 Super Sock 2 Slip-On Walking Shoe,24,65
,Women's Go Walk Lite-15430 Boat Shoe,34,49
,"Women's Go Walk Coral Boat Shoe,",40,24
OOFOS,Unisex OOahh Sport Slide Sandal,47,96
,Women's Surfwalker 3.0 Water Shoe,15,95
,Women's Arishi V1 Running Shoe,13,82
Vionic,Kona Women's Orthotic Athletic Shoe,69,95
,Women's Hollyleaf Sandal,58,00
,"Women's Waterproof Rain and Garden Shoe with Comfort Insole, Chickens Daffodil Yellow, Size 6, Style 5116CDY06",19,99
,"Women's Freestyle Hi Walking Shoe,",53,35
,Women's GEL-Cumulus 20 Running Shoe,83,17
,Women's Nitrel v1 FuelCore Trail Running Shoe,19,29
,Kids' Free Rn (Big),24,97
WHITIN,Unisex Barefoot Shoes for Water Activities and Walking Jogging,29,99
,Unisex Classic Slide Sandal,12,28
,Chuck Taylor All Star Leather High Top Sneaker,39,00
,Kulapa Kai Slipper - Women's,41,95
Old Shanghai,Women's Kimono Long Robe - Peacock & Blossoms,19,50
,Women's W840V3 Running Shoe,64,99
,Women's Grace Flat Sandal,44,38
,Women's Questar BYD W,43,97
,Women's Glove 4 Trail Runner,82,59
,Sport Women's Empire Inside Look Fashion Sneaker,27,99
JARLIF,Women's Lightweight Athletic Running Shoes Breathable Sport Air Fitness Gym Jogging Sneakers US5.5-10,39,99
,Mexico 66 Fashion Sneaker,42,92
Vionic,Women's Miles Active Sneaker,54,99
,VEE3NVY Unisex Authentic Shoes,27,69
SHIMANO,SHRP2W Road Shoe Women's Cycling,88,86
,"Women's Barricade Court w Tennis Shoe, White/Matte Silver/Grey Two, 6.5 M US",48,56
,Men's Air Presto Essential,49,99
,Women's Suede Classic Sneaker,26,23
,Women's ZX3 Classic Sport Sandal,68,22
,Women's Kawa Slide Sandal,18,98
,Women's Downshifter 7,33,98
DREAM PAIRS,Women's Athletic Running Shoes,20,99
COODO,Women's Athletic Shoes Casual Breathable Sneakers,19,99
Troadlop,Womens Fashion Sneakers Ultra Lightweight Knitted Running Shoes Athletic Casual Walking,25,99
,Women's Go Walk Lite-15433 Boat Shoe,28,53
,Women's Go Walk Joy-15635 Sneaker,29,00
Tommaso,"Pista 100 Women's Spin Class Ready Cycling Shoe with Compatable Cleat, Look Delta, SPD - Black, Blue, Pink, White",84,95
,Dance Women's Pulse Jazz Shoe,37,39
Fashion Brand Best Show,Women's Athletic Mesh Breathable Sneakers Running Sports Shoes,7,99
,Women's Flex Trainer 7 Cross,70,00
Voovix,Water Shoes Men Women Quick Dry Barefoot Aqua Shoes Swim Surf Beach Pool,9,99
,Womens PureFlow 7,100,00
,Women's Jr. Footlight T-Strap Dance Shoe,32,21
